╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
   1850 | -7.554167e-03 | 9.906304e-05 | -7.653230e-03 |  0.9976 |     0.6486 |    7.2% |  3.52e-04
   1875 | -7.554051e-03 | 9.919651e-05 | -7.653247e-03 |  0.9976 |     0.6486 |    7.2% |  3.40e-04
   1900 | -7.554098e-03 | 9.916801e-05 | -7.653266e-03 |  0.9976 |     0.6487 |    7.2% |  3.28e-04
   1925 | -7.554307e-03 | 9.897673e-05 | -7.653284e-03 |  0.9976 |     0.6487 |    7.2% |  3.16e-04
   1950 | -7.554283e-03 | 9.901549e-05 | -7.653299e-03 |  0.9976 |     0.6488 |    7.2% |  3.04e-04
   1975 | -7.554161e-03 | 9.915243e-05 | -7.653313e-03 |  0.9976 |     0.6488 |    7.2% |  2.92e-04
   2000 | -7.553939e-03 | 9.938732e-05 | -7.653326e-03 |  0.9976 |     0.6489 |    7.2% |  2.80e-04
   2025 | -7.554129e-03 | 9.921112e-05 | -7.653340e-03 |  0.9976 |     0.6489 |    7.2% |  2.69e-04
   2050 | -7.554318e-03 | 9.903088e-05 | -7.653349e-03 |  0.9976 |     0.6490 |    7.2% |  2.57e-04
   2075 | -7.554183e-03 | 9.917715e-05 | -7.653360e-03 |  0.9976 |     0.6490 |    7.1% |  2.46e-04
   2100 | -7.554308e-03 | 9.906333e-05 | -7.653371e-03 |  0.9976 |     0.6490 |    7.1% |  2.35e-04
   2125 | -7.554076e-03 | 9.930627e-05 | -7.653383e-03 |  0.9976 |     0.6491 |    7.1% |  2.25e-04
   2150 | -7.554261e-03 | 9.912802e-05 | -7.653390e-03 |  0.9976 |     0.6491 |    7.1% |  2.14e-04
   2175 | -7.554089e-03 | 9.931043e-05 | -7.653399e-03 |  0.9976 |     0.6491 |    7.1% |  2.04e-04
   2200 | -7.553887e-03 | 9.951931e-05 | -7.653406e-03 |  0.9976 |     0.6491 |    7.1% |  1.93e-04
   2225 | -7.554204e-03 | 9.920937e-05 | -7.653414e-03 |  0.9976 |     0.6492 |    7.1% |  1.84e-04
   2250 | -7.554099e-03 | 9.932176e-05 | -7.653421e-03 |  0.9976 |     0.6492 |    7.1% |  1.74e-04
   2275 | -7.554169e-03 | 9.925666e-05 | -7.653425e-03 |  0.9976 |     0.6492 |    7.1% |  1.64e-04
   2300 | -7.554233e-03 | 9.919883e-05 | -7.653432e-03 |  0.9976 |     0.6492 |    7.1% |  1.55e-04
   2325 | -7.554449e-03 | 9.898895e-05 | -7.653438e-03 |  0.9976 |     0.6493 |    7.1% |  1.46e-04
   2350 | -7.554344e-03 | 9.909908e-05 | -7.653443e-03 |  0.9976 |     0.6493 |    7.1% |  1.37e-04
   2375 | -7.554146e-03 | 9.930157e-05 | -7.653447e-03 |  0.9976 |     0.6493 |    7.1% |  1.29e-04
   2400 | -7.554103e-03 | 9.935019e-05 | -7.653453e-03 |  0.9976 |     0.6493 |    7.1% |  1.20e-04
   2425 | -7.554277e-03 | 9.918044e-05 | -7.653457e-03 |  0.9976 |     0.6493 |    7.1% |  1.12e-04
   2450 | -7.554276e-03 | 9.918568e-05 | -7.653462e-03 |  0.9976 |     0.6493 |    7.1% |  1.05e-04
   2475 | -7.554266e-03 | 9.919933e-05 | -7.653465e-03 |  0.9976 |     0.6493 |    7.1% |  9.71e-05
   2500 | -7.554079e-03 | 9.938962e-05 | -7.653469e-03 |  0.9976 |     0.6494 |    7.1% |  8.99e-05
   2525 | -7.554081e-03 | 9.939160e-05 | -7.653473e-03 |  0.9976 |     0.6494 |    7.1% |  8.29e-05
   2550 | -7.554344e-03 | 9.913136e-05 | -7.653475e-03 |  0.9976 |     0.6494 |    7.1% |  7.63e-05
   2575 | -7.554348e-03 | 9.913112e-05 | -7.653479e-03 |  0.9976 |     0.6494 |    7.1% |  7.00e-05
   2600 | -7.554583e-03 | 9.889735e-05 | -7.653480e-03 |  0.9976 |     0.6494 |    7.1% |  6.40e-05
   2625 | -7.554315e-03 | 9.916873e-05 | -7.653483e-03 |  0.9976 |     0.6494 |    7.1% |  5.82e-05
   2650 | -7.554249e-03 | 9.923584e-05 | -7.653485e-03 |  0.9976 |     0.6494 |    7.1% |  5.28e-05
   2675 | -7.554354e-03 | 9.913305e-05 | -7.653487e-03 |  0.9976 |     0.6494 |    7.1% |  4.77e-05
   2700 | -7.554353e-03 | 9.913703e-05 | -7.653490e-03 |  0.9976 |     0.6494 |    7.1% |  4.29e-05
   2725 | -7.554210e-03 | 9.928078e-05 | -7.653491e-03 |  0.9976 |     0.6494 |    7.1% |  3.84e-05
   2750 | -7.554231e-03 | 9.926119e-05 | -7.653493e-03 |  0.9976 |     0.6494 |    7.1% |  3.42e-05
   2775 | -7.554402e-03 | 9.909237e-05 | -7.653494e-03 |  0.9976 |     0.6494 |    7.1% |  3.04e-05
   2800 | -7.554256e-03 | 9.924019e-05 | -7.653496e-03 |  0.9976 |     0.6494 |    7.1% |  2.69e-05
