╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: CARTILAGE | E=500000 Pa (500.0 kPa) | ν=0.45
  Beam: 10cm x 2cm x 2cm
  Mesh: 20x6x6 | Device: cpu | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
======================================================================
  Nodes: 1029 | Tets: 3600 | Edges: 14128
  Params: 161,731
  ⚡ F-bar enabled (ν=0.45 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
   2475 | -3.906210e-01 | -3.813756e-01 | -9.245464e-03 |  0.8307 |    29.2728 |  3.22e-04
   2500 | -3.906692e-01 | -3.813208e-01 | -9.348340e-03 |  0.8282 |    29.9169 |  3.01e-04
   2525 | -3.907100e-01 | -3.812670e-01 | -9.443047e-03 |  0.8263 |    30.5135 |  2.81e-04
   2550 | -3.907501e-01 | -3.812223e-01 | -9.527770e-03 |  0.8257 |    31.0552 |  2.61e-04
   2575 | -3.907853e-01 | -3.811777e-01 | -9.607580e-03 |  0.8250 |    31.5595 |  2.42e-04
   2600 | -3.908168e-01 | -3.811369e-01 | -9.679936e-03 |  0.8241 |    32.0206 |  2.24e-04
   2625 | -3.908452e-01 | -3.810991e-01 | -9.746129e-03 |  0.8213 |    32.4430 |  2.06e-04
   2650 | -3.908709e-01 | -3.810644e-01 | -9.806522e-03 |  0.8187 |    32.8288 |  1.89e-04
   2675 | -3.908940e-01 | -3.810324e-01 | -9.861533e-03 |  0.8164 |    33.1806 |  1.73e-04
   2700 | -3.909149e-01 | -3.810033e-01 | -9.911553e-03 |  0.8142 |    33.5007 |  1.58e-04
   2725 | -3.909335e-01 | -3.809766e-01 | -9.956951e-03 |  0.8122 |    33.7915 |  1.43e-04
   2750 | -3.909504e-01 | -3.809523e-01 | -9.998078e-03 |  0.8105 |    34.0552 |  1.30e-04
   2775 | -3.909655e-01 | -3.809302e-01 | -1.003528e-02 |  0.8089 |    34.2937 |  1.18e-04
   2800 | -3.909791e-01 | -3.809102e-01 | -1.006889e-02 |  0.8075 |    34.5093 |  1.06e-04
   2825 | -3.909912e-01 | -3.808919e-01 | -1.009924e-02 |  0.8062 |    34.7041 |  9.56e-05
   2850 | -3.910020e-01 | -3.808753e-01 | -1.012665e-02 |  0.8050 |    34.8800 |  8.62e-05
   2875 | -3.910118e-01 | -3.808604e-01 | -1.015145e-02 |  0.8040 |    35.0392 |  7.78e-05
   2900 | -3.910206e-01 | -3.808467e-01 | -1.017395e-02 |  0.8030 |    35.1837 |  7.05e-05
   2925 | -3.910286e-01 | -3.808341e-01 | -1.019449e-02 |  0.8021 |    35.3156 |  6.42e-05
   2950 | -3.910360e-01 | -3.808226e-01 | -1.021339e-02 |  0.8013 |    35.4369 |  5.91e-05
   2975 | -3.910427e-01 | -3.808118e-01 | -1.023099e-02 |  0.8006 |    35.5499 |  5.51e-05
   3000 | -3.910491e-01 | -3.808015e-01 | -1.024762e-02 |  0.7999 |    35.6567 |  5.23e-05

  ======================================================================
  ✅ CARTILAGE COMPLETE
  Best loss: -3.910491e-01 (epoch 3000)
  Tip displacement: 35.6609 mm (expected: 8.0932 mm)
  Relative error: 340.63%
  J range: [0.799880, 1.404516]
  Training time: 412.6s (6.9min)
  ======================================================================

