╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 0.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: BONE (BARRIER ABLATION, k_E=0.0) | E=10000000 Pa | ν=0.3
  Mesh: 15x4x4 | Device: cuda | Epochs: 2000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 161,731

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
    350 | -7.540465e-03 |  0.9982 |       0 |     0.5317 |  9.46e-04
    375 | -7.541779e-03 |  0.9981 |       0 |     0.5575 |  9.37e-04
    400 | -7.542223e-03 |  0.9980 |       0 |     0.5703 |  9.27e-04
    425 | -7.543742e-03 |  0.9980 |       0 |     0.5745 |  9.17e-04
    450 | -7.543574e-03 |  0.9980 |       0 |     0.5769 |  9.05e-04
    475 | -7.543414e-03 |  0.9980 |       0 |     0.5787 |  8.94e-04
    500 | -7.543404e-03 |  0.9980 |       0 |     0.5800 |  8.81e-04
    525 | -7.539008e-03 |  0.9979 |       0 |     0.5501 |  8.68e-04
    550 | -7.543639e-03 |  0.9980 |       0 |     0.5741 |  8.55e-04
    575 | -7.543801e-03 |  0.9981 |       0 |     0.5803 |  8.41e-04
    600 | -7.543885e-03 |  0.9980 |       0 |     0.5829 |  8.26e-04
    625 | -7.542684e-03 |  0.9980 |       0 |     0.5833 |  8.11e-04
    650 | -7.543902e-03 |  0.9981 |       0 |     0.5755 |  7.96e-04
    675 | -7.543596e-03 |  0.9980 |       0 |     0.5840 |  7.80e-04
    700 | -7.543991e-03 |  0.9980 |       0 |     0.5851 |  7.64e-04
    725 | -7.545011e-03 |  0.9980 |       0 |     0.5856 |  7.47e-04
    750 | -7.544547e-03 |  0.9981 |       0 |     0.5769 |  7.30e-04
    775 | -7.544803e-03 |  0.9980 |       0 |     0.5843 |  7.12e-04
    800 | -7.544356e-03 |  0.9980 |       0 |     0.5863 |  6.94e-04
    825 | -7.544364e-03 |  0.9980 |       0 |     0.5869 |  6.76e-04
    850 | -7.544376e-03 |  0.9980 |       0 |     0.5829 |  6.58e-04
    875 | -7.544824e-03 |  0.9980 |       0 |     0.5867 |  6.39e-04
    900 | -7.544826e-03 |  0.9980 |       0 |     0.5878 |  6.21e-04
    925 | -7.544755e-03 |  0.9980 |       0 |     0.5881 |  6.02e-04
    950 | -7.542909e-03 |  0.9980 |       0 |     0.5852 |  5.82e-04
    975 | -7.544907e-03 |  0.9980 |       0 |     0.5870 |  5.63e-04
   1000 | -7.544891e-03 |  0.9980 |       0 |     0.5886 |  5.44e-04
   1025 | -7.544832e-03 |  0.9980 |       0 |     0.5890 |  5.24e-04
   1050 | -7.544511e-03 |  0.9980 |       0 |     0.5892 |  5.05e-04
   1075 | -7.544829e-03 |  0.9980 |       0 |     0.5894 |  4.86e-04
   1100 | -7.544995e-03 |  0.9980 |       0 |     0.5896 |  4.66e-04
   1125 | -7.544730e-03 |  0.9980 |       0 |     0.5898 |  4.47e-04
   1150 | -7.544843e-03 |  0.9980 |       0 |     0.5899 |  4.28e-04
   1175 | -7.544863e-03 |  0.9980 |       0 |     0.5900 |  4.08e-04
   1200 | -7.545179e-03 |  0.9980 |       0 |     0.5902 |  3.89e-04
   1225 | -7.545219e-03 |  0.9980 |       0 |     0.5903 |  3.71e-04
   1250 | -7.545785e-03 |  0.9980 |       0 |     0.5904 |  3.52e-04
   1275 | -7.545130e-03 |  0.9980 |       0 |     0.5905 |  3.34e-04
   1300 | -7.545216e-03 |  0.9980 |       0 |     0.5906 |  3.16e-04
   1325 | -7.545010e-03 |  0.9980 |       0 |     0.5907 |  2.98e-04
   1350 | -7.544810e-03 |  0.9980 |       0 |     0.5908 |  2.80e-04
   1375 | -7.544696e-03 |  0.9980 |       0 |     0.5909 |  2.63e-04
   1400 | -7.545331e-03 |  0.9980 |       0 |     0.5910 |  2.46e-04
   1425 | -7.545126e-03 |  0.9980 |       0 |     0.5910 |  2.30e-04
   1450 | -7.544791e-03 |  0.9980 |       0 |     0.5911 |  2.14e-04
   1475 | -7.545250e-03 |  0.9980 |       0 |     0.5912 |  1.99e-04
   1500 | -7.545075e-03 |  0.9980 |       0 |     0.5912 |  1.84e-04
   1525 | -7.545100e-03 |  0.9980 |       0 |     0.5913 |  1.69e-04
   1550 | -7.545538e-03 |  0.9980 |       0 |     0.5913 |  1.55e-04
   1575 | -7.544731e-03 |  0.9980 |       0 |     0.5914 |  1.42e-04
   1600 | -7.545130e-03 |  0.9980 |       0 |     0.5914 |  1.29e-04
   1625 | -7.545139e-03 |  0.9980 |       0 |     0.5914 |  1.16e-04
   1650 | -7.544779e-03 |  0.9980 |       0 |     0.5915 |  1.05e-04
   1675 | -7.545154e-03 |  0.9980 |       0 |     0.5915 |  9.34e-05
   1700 | -7.544404e-03 |  0.9980 |       0 |     0.5915 |  8.29e-05
   1725 | -7.544968e-03 |  0.9980 |       0 |     0.5916 |  7.31e-05
   1750 | -7.545032e-03 |  0.9980 |       0 |     0.5916 |  6.40e-05
   1775 | -7.545019e-03 |  0.9980 |       0 |     0.5916 |  5.55e-05
   1800 | -7.544880e-03 |  0.9980 |       0 |     0.5916 |  4.77e-05
   1825 | -7.545515e-03 |  0.9980 |       0 |     0.5916 |  4.06e-05
   1850 | -7.545168e-03 |  0.9980 |       0 |     0.5916 |  3.42e-05
   1875 | -7.544841e-03 |  0.9980 |       0 |     0.5917 |  2.86e-05
   1900 | -7.545431e-03 |  0.9980 |       0 |     0.5917 |  2.37e-05
   1925 | -7.544999e-03 |  0.9980 |       0 |     0.5917 |  1.95e-05
   1950 | -7.545282e-03 |  0.9980 |       0 |     0.5917 |  1.61e-05
   1975 | -7.544851e-03 |  0.9980 |       0 |     0.5917 |  1.34e-05
   2000 | -7.545166e-03 |  0.9980 |       0 |     0.5917 |  1.15e-05

  ======================================================================
  ✅ BONE (barrier_coef=0.0) COMPLETE
  Best loss: -7.546088e-03 (epoch 1818)
  Tip: 0.5916 mm (expected: 0.6990 mm)  Err: 15.36%
  n_inverted: final=0, max_during_training=0
  Training time: 80.6s (1.3min)
  ======================================================================

