╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 0.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: CARTILAGE (BARRIER ABLATION, k_E=0.0) | E=500000 Pa | ν=0.3
  Mesh: 15x4x4 | Device: cuda | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 161,731

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
   2625 | -4.931286e-03 |  0.9772 |       0 |     6.9395 |  5.82e-05
   2650 | -4.931267e-03 |  0.9772 |       0 |     6.9395 |  5.28e-05
   2675 | -4.931293e-03 |  0.9772 |       0 |     6.9396 |  4.77e-05
   2700 | -4.931264e-03 |  0.9772 |       0 |     6.9396 |  4.29e-05
   2725 | -4.931277e-03 |  0.9772 |       0 |     6.9396 |  3.84e-05
   2750 | -4.931275e-03 |  0.9772 |       0 |     6.9396 |  3.42e-05
   2775 | -4.931231e-03 |  0.9772 |       0 |     6.9396 |  3.04e-05
   2800 | -4.931284e-03 |  0.9772 |       0 |     6.9396 |  2.69e-05
   2825 | -4.931243e-03 |  0.9772 |       0 |     6.9396 |  2.37e-05
   2850 | -4.931245e-03 |  0.9772 |       0 |     6.9397 |  2.08e-05
   2875 | -4.931237e-03 |  0.9772 |       0 |     6.9397 |  1.83e-05
   2900 | -4.931249e-03 |  0.9772 |       0 |     6.9397 |  1.61e-05
   2925 | -4.931281e-03 |  0.9772 |       0 |     6.9397 |  1.42e-05
   2950 | -4.931262e-03 |  0.9772 |       0 |     6.9397 |  1.27e-05
   2975 | -4.931237e-03 |  0.9772 |       0 |     6.9397 |  1.15e-05
   3000 | -4.931276e-03 |  0.9772 |       0 |     6.9397 |  1.07e-05

  ======================================================================
  ✅ CARTILAGE (barrier_coef=0.0) COMPLETE
  Best loss: -4.931324e-03 (epoch 2685)
  Tip: 6.9396 mm (expected: 8.0932 mm)  Err: 14.25%
  n_inverted: final=0, max_during_training=0
  Training time: 116.3s (1.9min)
  ======================================================================

