╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731
  ⚡ F-bar enabled (ν=0.30 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
   1475 | -5.127312e+01 | -5.126493e+01 | -8.191833e-03 |  0.9741 |     2.8496 |  307.7% |  5.44e-04
   1500 | -5.127093e+01 | -5.126272e+01 | -8.207862e-03 |  0.9756 |     2.9098 |  316.3% |  5.31e-04
   1525 | -5.127124e+01 | -5.126302e+01 | -8.218137e-03 |  0.9742 |     2.9544 |  322.7% |  5.18e-04
   1550 | -5.127259e+01 | -5.126437e+01 | -8.220011e-03 |  0.9725 |     2.9725 |  325.3% |  5.05e-04
   1575 | -5.127294e+01 | -5.126471e+01 | -8.230675e-03 |  0.9724 |     3.0124 |  331.0% |  4.92e-04
   1600 | -5.127256e+01 | -5.126431e+01 | -8.251939e-03 |  0.9759 |     3.0867 |  341.6% |  4.79e-04
   1625 | -5.127305e+01 | -5.126479e+01 | -8.263187e-03 |  0.9762 |     3.1327 |  348.2% |  4.66e-04
   1650 | -5.127311e+01 | -5.126484e+01 | -8.269520e-03 |  0.9737 |     3.1643 |  352.7% |  4.53e-04
   1675 | -5.127346e+01 | -5.126518e+01 | -8.280977e-03 |  0.9734 |     3.2108 |  359.4% |  4.40e-04
   1700 | -5.127320e+01 | -5.126490e+01 | -8.296811e-03 |  0.9760 |     3.2699 |  367.8% |  4.28e-04
   1725 | -5.127350e+01 | -5.126519e+01 | -8.307596e-03 |  0.9766 |     3.3140 |  374.1% |  4.15e-04
   1750 | -5.127350e+01 | -5.126519e+01 | -8.313969e-03 |  0.9739 |     3.3455 |  378.6% |  4.02e-04
   1775 | -5.127362e+01 | -5.126529e+01 | -8.325086e-03 |  0.9732 |     3.3911 |  385.2% |  3.89e-04
   1800 | -5.127369e+01 | -5.126535e+01 | -8.340612e-03 |  0.9758 |     3.4492 |  393.5% |  3.77e-04
   1825 | -5.127366e+01 | -5.126531e+01 | -8.351579e-03 |  0.9766 |     3.4935 |  399.8% |  3.64e-04
   1850 | -5.127375e+01 | -5.126539e+01 | -8.358186e-03 |  0.9747 |     3.5250 |  404.3% |  3.52e-04
   1875 | -5.127404e+01 | -5.126567e+01 | -8.368252e-03 |  0.9747 |     3.5662 |  410.2% |  3.40e-04
   1900 | -5.127409e+01 | -5.126571e+01 | -8.382571e-03 |  0.9753 |     3.6210 |  418.1% |  3.28e-04
   1925 | -5.127434e+01 | -5.126595e+01 | -8.393412e-03 |  0.9750 |     3.6652 |  424.4% |  3.16e-04
   1950 | -5.127417e+01 | -5.126577e+01 | -8.400341e-03 |  0.9732 |     3.6975 |  429.0% |  3.04e-04
   1975 | -5.127440e+01 | -5.126599e+01 | -8.411240e-03 |  0.9728 |     3.7417 |  435.3% |  2.92e-04
   2000 | -5.127445e+01 | -5.126602e+01 | -8.425316e-03 |  0.9738 |     3.7958 |  443.1% |  2.80e-04
   2025 | -5.127451e+01 | -5.126607e+01 | -8.436002e-03 |  0.9733 |     3.8391 |  449.3% |  2.69e-04
   2050 | -5.127470e+01 | -5.126625e+01 | -8.443777e-03 |  0.9718 |     3.8738 |  454.2% |  2.57e-04
   2075 | -5.127513e+01 | -5.126667e+01 | -8.457695e-03 |  0.9721 |     3.9309 |  462.4% |  2.46e-04
   2100 | -5.127517e+01 | -5.126670e+01 | -8.469654e-03 |  0.9716 |     3.9806 |  469.5% |  2.35e-04
   2125 | -5.127518e+01 | -5.126670e+01 | -8.481298e-03 |  0.9713 |     4.0278 |  476.3% |  2.25e-04
   2150 | -5.127519e+01 | -5.126670e+01 | -8.492447e-03 |  0.9709 |     4.0724 |  482.6% |  2.14e-04
   2175 | -5.127521e+01 | -5.126670e+01 | -8.503013e-03 |  0.9706 |     4.1145 |  488.7% |  2.04e-04
   2200 | -5.127522e+01 | -5.126670e+01 | -8.513038e-03 |  0.9703 |     4.1542 |  494.3% |  1.93e-04
   2225 | -5.127522e+01 | -5.126670e+01 | -8.522540e-03 |  0.9700 |     4.1918 |  499.7% |  1.84e-04
   2250 | -5.127523e+01 | -5.126670e+01 | -8.531546e-03 |  0.9698 |     4.2274 |  504.8% |  1.74e-04
   2275 | -5.127525e+01 | -5.126670e+01 | -8.540068e-03 |  0.9696 |     4.2610 |  509.6% |  1.64e-04
   2300 | -5.127525e+01 | -5.126670e+01 | -8.548129e-03 |  0.9693 |     4.2928 |  514.2% |  1.55e-04
   2325 | -5.127525e+01 | -5.126669e+01 | -8.555738e-03 |  0.9691 |     4.3228 |  518.5% |  1.46e-04
   2350 | -5.127526e+01 | -5.126670e+01 | -8.562917e-03 |  0.9689 |     4.3510 |  522.5% |  1.37e-04
   2375 | -5.127527e+01 | -5.126670e+01 | -8.569673e-03 |  0.9688 |     4.3776 |  526.3% |  1.29e-04
   2400 | -5.127528e+01 | -5.126670e+01 | -8.576023e-03 |  0.9686 |     4.4026 |  529.9% |  1.20e-04
   2425 | -5.127527e+01 | -5.126669e+01 | -8.581983e-03 |  0.9684 |     4.4260 |  533.2% |  1.12e-04
   2450 | -5.127528e+01 | -5.126670e+01 | -8.587563e-03 |  0.9683 |     4.4479 |  536.4% |  1.05e-04
   2475 | -5.127528e+01 | -5.126669e+01 | -8.592777e-03 |  0.9681 |     4.4684 |  539.3% |  9.71e-05
   2500 | -5.127530e+01 | -5.126670e+01 | -8.597640e-03 |  0.9680 |     4.4874 |  542.0% |  8.99e-05
   2525 | -5.127530e+01 | -5.126670e+01 | -8.602166e-03 |  0.9679 |     4.5052 |  544.6% |  8.29e-05
   2550 | -5.127531e+01 | -5.126670e+01 | -8.606359e-03 |  0.9678 |     4.5216 |  546.9% |  7.63e-05
   2575 | -5.127531e+01 | -5.126670e+01 | -8.610244e-03 |  0.9677 |     4.5368 |  549.1% |  7.00e-05
   2600 | -5.127531e+01 | -5.126669e+01 | -8.613825e-03 |  0.9676 |     4.5508 |  551.1% |  6.40e-05
   2625 | -5.127531e+01 | -5.126669e+01 | -8.617118e-03 |  0.9675 |     4.5637 |  552.9% |  5.82e-05
   2650 | -5.127531e+01 | -5.126669e+01 | -8.620135e-03 |  0.9674 |     4.5755 |  554.6% |  5.28e-05
   2675 | -5.127531e+01 | -5.126669e+01 | -8.622892e-03 |  0.9673 |     4.5863 |  556.2% |  4.77e-05
