╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: VESSEL (MGN-baseline) | E=400000 Pa (400.0 kPa) | ν=0.49
  Beam: 10cm x 2cm x 2cm
  Mesh: 25x8x8 | Device: cuda | Epochs: 2500
  Expected tip δ: 9.6567 mm | Scale: 9.66e-03
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 2106 | Tets: 8000 | Edges: 30738
  Params: 238,915  (~2× SolidGNN edge-MLP params)
  ⚡ F-bar enabled (ν=0.49 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
   1975 | -5.955042e-02 | -5.453626e-02 | -5.014163e-03 |  0.9561 |     3.9196 |  7.69e-04
   2000 | -5.922398e-02 | -5.442956e-02 | -4.794426e-03 |  0.9587 |     2.9850 |  7.49e-04
   2025 | -5.942134e-02 | -5.460034e-02 | -4.820999e-03 |  0.9658 |     2.9791 |  7.28e-04
   2050 | -5.950403e-02 | -5.457547e-02 | -4.928565e-03 |  0.9602 |     3.4546 |  7.07e-04
   2075 | -5.957652e-02 | -5.453533e-02 | -5.041192e-03 |  0.9579 |     4.0298 |  6.85e-04
   2100 | -5.964803e-02 | -5.449085e-02 | -5.157182e-03 |  0.9528 |     4.6590 |  6.63e-04
   2125 | -5.972031e-02 | -5.444381e-02 | -5.276497e-03 |  0.9477 |     5.3338 |  6.40e-04
   2150 | -5.880225e-02 | -5.362403e-02 | -5.178219e-03 |  0.9442 |     4.9572 |  6.18e-04
   2175 | -5.960426e-02 | -5.446390e-02 | -5.140359e-03 |  0.9551 |     4.6496 |  5.95e-04
   2200 | -5.970448e-02 | -5.446324e-02 | -5.241235e-03 |  0.9491 |     5.1419 |  5.72e-04
   2225 | -5.976803e-02 | -5.442825e-02 | -5.339788e-03 |  0.9456 |     5.7195 |  5.48e-04
   2250 | -5.982931e-02 | -5.438555e-02 | -5.443756e-03 |  0.9416 |     6.3296 |  5.25e-04
   2275 | -5.958505e-02 | -5.406226e-02 | -5.522791e-03 |  0.9448 |     6.7699 |  5.02e-04
   2300 | -5.979997e-02 | -5.439246e-02 | -5.407508e-03 |  0.9425 |     6.1947 |  4.78e-04
   2325 | -5.986832e-02 | -5.437333e-02 | -5.494988e-03 |  0.9392 |     6.6381 |  4.55e-04
   2350 | -5.992046e-02 | -5.433882e-02 | -5.581639e-03 |  0.9365 |     7.1672 |  4.32e-04
   2375 | -5.997190e-02 | -5.430463e-02 | -5.667266e-03 |  0.9332 |     7.7011 |  4.10e-04
