╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: KIDNEY (MGN-baseline) | E=10000 Pa (10.0 kPa) | ν=0.45
  Beam: 3cm x 2cm x 2cm
  Mesh: 20x6x6 | Device: cuda | Epochs: 3000
  Expected tip δ: 3.1288 mm | Scale: 3.13e-03
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 1029 | Tets: 3600 | Edges: 14128
  Params: 238,915  (~2× SolidGNN edge-MLP params)
  ⚡ F-bar enabled (ν=0.45 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
   1900 | -3.811149e-03 | -2.085255e-03 | -1.725894e-03 |  0.5972 |     8.8598 |  8.26e-04
   1925 | -3.780901e-03 | -2.035085e-03 | -1.745817e-03 |  0.5922 |     9.3035 |  8.08e-04
   1950 | -3.807594e-03 | -2.056545e-03 | -1.751048e-03 |  0.5785 |     9.3559 |  7.89e-04
   1975 | -3.823738e-03 | -2.063649e-03 | -1.760089e-03 |  0.5930 |     9.6427 |  7.69e-04
   2000 | -3.808889e-03 | -2.037634e-03 | -1.771256e-03 |  0.5817 |     9.8251 |  7.49e-04
   2025 | -3.832170e-03 | -2.058312e-03 | -1.773858e-03 |  0.5972 |     9.9411 |  7.28e-04
   2050 | -3.808476e-03 | -2.022510e-03 | -1.785966e-03 |  0.5843 |    10.1967 |  7.07e-04
   2075 | -3.842793e-03 | -2.053194e-03 | -1.789599e-03 |  0.5893 |    10.2854 |  6.85e-04
   2100 | -3.844758e-03 | -2.048710e-03 | -1.796048e-03 |  0.5838 |    10.4301 |  6.63e-04
   2125 | -3.847763e-03 | -2.049037e-03 | -1.798727e-03 |  0.5847 |    10.5292 |  6.40e-04
   2150 | -3.851679e-03 | -2.042820e-03 | -1.808859e-03 |  0.5800 |    10.7342 |  6.18e-04
   2175 | -3.798392e-03 | -1.993469e-03 | -1.804923e-03 |  0.6203 |    10.5176 |  5.95e-04
   2200 | -3.849042e-03 | -2.049968e-03 | -1.799074e-03 |  0.5890 |    10.5438 |  5.72e-04
   2225 | -3.856319e-03 | -2.042254e-03 | -1.814065e-03 |  0.5772 |    10.8394 |  5.48e-04
   2250 | -3.859922e-03 | -2.038240e-03 | -1.821682e-03 |  0.5738 |    11.0249 |  5.25e-04
   2275 | -3.863066e-03 | -2.035203e-03 | -1.827863e-03 |  0.5701 |    11.1706 |  5.02e-04
   2300 | -3.866407e-03 | -2.033075e-03 | -1.833332e-03 |  0.5676 |    11.3000 |  4.78e-04
   2325 | -3.870132e-03 | -2.031571e-03 | -1.838561e-03 |  0.5642 |    11.4264 |  4.55e-04
   2350 | -3.874276e-03 | -2.030296e-03 | -1.843979e-03 |  0.5601 |    11.5599 |  4.32e-04
   2375 | -3.850596e-03 | -2.001087e-03 | -1.849508e-03 |  0.5445 |    11.5474 |  4.10e-04
   2400 | -3.878802e-03 | -2.034990e-03 | -1.843812e-03 |  0.5539 |    11.5886 |  3.87e-04
   2425 | -3.885088e-03 | -2.032884e-03 | -1.852204e-03 |  0.5493 |    11.7824 |  3.65e-04
   2450 | -3.889945e-03 | -2.030302e-03 | -1.859644e-03 |  0.5456 |    11.9719 |  3.43e-04
   2475 | -3.894468e-03 | -2.027663e-03 | -1.866805e-03 |  0.5442 |    12.1530 |  3.22e-04
   2500 | -3.898608e-03 | -2.024956e-03 | -1.873652e-03 |  0.5435 |    12.3257 |  3.01e-04
   2525 | -3.902354e-03 | -2.022198e-03 | -1.880156e-03 |  0.5425 |    12.4893 |  2.81e-04
   2550 | -3.905706e-03 | -2.019399e-03 | -1.886307e-03 |  0.5325 |    12.6430 |  2.61e-04
   2575 | -3.908673e-03 | -2.016607e-03 | -1.892066e-03 |  0.5234 |    12.7861 |  2.42e-04
   2600 | -3.911278e-03 | -2.013868e-03 | -1.897411e-03 |  0.5153 |    12.9180 |  2.24e-04
   2625 | -3.913553e-03 | -2.011225e-03 | -1.902329e-03 |  0.5080 |    13.0387 |  2.06e-04
   2650 | -3.915534e-03 | -2.008714e-03 | -1.906820e-03 |  0.5016 |    13.1483 |  1.89e-04
   2675 | -3.917256e-03 | -2.006364e-03 | -1.910892e-03 |  0.4959 |    13.2471 |  1.73e-04
   2700 | -3.918753e-03 | -2.004188e-03 | -1.914565e-03 |  0.4909 |    13.3357 |  1.58e-04
