╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: BONE (MGN-baseline) | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 15x4x4 | Device: cuda | Epochs: 2000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 238,915  (~2× SolidGNN edge-MLP params)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
   1425 | -7.545439e-03 | 8.983746e-05 | -7.635276e-03 |  0.9980 |     0.5900 |  2.30e-04
   1450 | -7.545450e-03 | 8.984423e-05 | -7.635294e-03 |  0.9980 |     0.5901 |  2.14e-04
   1475 | -7.545144e-03 | 9.016802e-05 | -7.635312e-03 |  0.9980 |     0.5901 |  1.99e-04
   1500 | -7.544808e-03 | 9.052258e-05 | -7.635331e-03 |  0.9980 |     0.5902 |  1.84e-04
   1525 | -7.545068e-03 | 9.027545e-05 | -7.635343e-03 |  0.9980 |     0.5903 |  1.69e-04
   1550 | -7.545484e-03 | 8.987419e-05 | -7.635358e-03 |  0.9980 |     0.5903 |  1.55e-04
   1575 | -7.544880e-03 | 9.049087e-05 | -7.635371e-03 |  0.9980 |     0.5904 |  1.42e-04
   1600 | -7.544935e-03 | 9.044766e-05 | -7.635383e-03 |  0.9980 |     0.5904 |  1.29e-04
   1625 | -7.544811e-03 | 9.058225e-05 | -7.635393e-03 |  0.9980 |     0.5904 |  1.16e-04
   1650 | -7.544426e-03 | 9.097703e-05 | -7.635403e-03 |  0.9980 |     0.5905 |  1.05e-04
   1675 | -7.545020e-03 | 9.039332e-05 | -7.635414e-03 |  0.9980 |     0.5905 |  9.34e-05
   1700 | -7.544717e-03 | 9.070551e-05 | -7.635423e-03 |  0.9980 |     0.5905 |  8.29e-05
   1725 | -7.544911e-03 | 9.051969e-05 | -7.635431e-03 |  0.9980 |     0.5906 |  7.31e-05
